ActivityID,CustomerID,ActivityType,ActivityTimestamp,DeviceType,Platform,SessionDuration,PageViews,ProductViewed,SearchQuery,ClickType,ConversionFlag
ACT001,CUST0001,Product View,2025-09-30 14:25:22,Mobile,iOS,00:15:30,8,IP15-PRO-256GB,iPhone 15 Pro review,Product Image,Yes
ACT002,CUST0001,Add to Cart,2025-09-30 14:28:45,Mobile,iOS,00:15:30,8,IP15-PRO-256GB,,Add to Cart,Yes
ACT003,CUST0001,Purchase,2025-09-30 14:30:22,Mobile,iOS,00:15:30,8,IP15-PRO-256GB,,Purchase Button,Yes
ACT004,CUST0002,Search,2025-09-25 16:40:12,Desktop,Web,00:22:15,12,IP15-128GB,iPhone 15 best price,Search Bar,Yes
ACT005,CUST0002,Product View,2025-09-25 16:42:30,Desktop,Web,00:22:15,12,IP15-128GB,,Product Link,Yes
ACT006,CUST0002,Compare Products,2025-09-25 16:44:18,Desktop,Web,00:22:15,12,IP15-128GB,iPhone 15 vs iPhone 14,Compare Button,Yes
ACT007,CUST0003,Email Click,2025-09-22 09:25:45,Mobile,Android,00:08:20,4,IP14-PRO-256GB,,Email Link,Yes
ACT008,CUST0003,Product View,2025-09-22 09:28:12,Mobile,Android,00:08:20,4,IP14-PRO-256GB,,Direct Link,Yes
ACT009,CUST0004,Social Media Click,2025-09-20 18:15:11,Desktop,Web,00:12:45,6,IP15-PRO-128GB,,Social Ad,Yes
ACT010,CUST0004,Product View,2025-09-20 18:17:33,Desktop,Web,00:12:45,6,IP15-PRO-128GB,,Social Redirect,Yes
ACT011,CUST0001,Browse Category,2025-09-18 12:05:55,Mobile,iOS,00:10:30,5,IP15-CASE-LEATHER,iPhone accessories,Category Page,Yes
ACT012,CUST0005,Search,2025-09-15 14:18:33,Tablet,iOS,00:18:40,9,IP15-256GB,affordable iPhone 15,Search Bar,Yes
ACT013,CUST0005,Filter Products,2025-09-15 14:20:15,Tablet,iOS,00:18:40,9,IP15-256GB,,Price Filter,Yes
ACT014,CUST0002,Product View,2025-09-12 11:40:22,Mobile,Android,00:06:15,3,IP15-AIRPODS-PRO,,Cross-sell,Yes
ACT015,CUST0006,Organic Search,2025-09-10 15:25:44,Desktop,Web,00:14:20,7,IP14-128GB,iPhone 14 discount,Google Search,Yes
ACT016,CUST0007,Direct Visit,2025-09-08 13:20:18,Mobile,iOS,00:05:45,3,IP15-PRO-MAX-1TB,,Bookmark,Yes
ACT017,CUST0003,Product View,2025-09-05 10:12:30,Desktop,Web,00:08:15,4,IP15-CHARGER-MAGSAFE,,Recommended,Yes
ACT018,CUST0008,Price Comparison,2025-09-03 16:35:25,Mobile,Android,00:25:40,15,IP13-128GB,cheapest iPhone 13,Price Compare,Yes
ACT019,CUST0009,Paid Ad Click,2025-09-01 09:50:12,Desktop,Web,00:11:30,6,IP15-PRO-512GB,,Google Ad,Yes
