CustomerID,Region,State,City,PinCode,CustomerTier,SignupDate,LastLoginDate,PreferredLanguage,MarketingConsent
CUST0001,North,Delhi,New Delhi,110001,Platinum,2023-01-15,2025-09-30,English,Yes
CUST0002,West,Maharashtra,Mumbai,400001,Gold,2023-03-22,2025-09-25,Hindi,Yes
CUST0003,South,Karnataka,Bangalore,560001,Platinum,2022-11-08,2025-09-22,English,Yes
CUST0004,North,Haryana,Gurgaon,122001,Platinum,2023-05-12,2025-09-20,English,No
CUST0005,West,Gujarat,Ahmedabad,380001,Silver,2024-01-18,2025-09-15,Gujarati,Yes
CUST0006,East,West Bengal,Kolkata,700001,Silver,2023-09-25,2025-09-10,Bengali,Yes
CUST0007,North,Punjab,Chandigarh,160001,Diamond,2022-06-30,2025-09-08,Punjabi,Yes
CUST0008,South,Tamil Nadu,Chennai,600001,Bronze,2024-03-14,2025-09-03,Tamil,No
CUST0009,West,Maharashtra,Pune,411001,Gold,2023-07-19,2025-09-01,Marathi,Yes
CUST0010,North,Uttar Pradesh,Noida,201301,Platinum,2022-12-05,2025-08-28,Hindi,Yes
CUST0011,South,Telangana,Hyderabad,500001,Enterprise,2022-04-17,2025-08-22,Telugu,Yes
CUST0012,West,Rajasthan,Jaipur,302001,Silver,2024-02-28,2025-08-18,Hindi,Yes
CUST0013,East,Odisha,Bhubaneswar,751001,Silver,2023-10-11,2025-08-15,Odia,No
CUST0014,North,Delhi,Dwarka,110075,Gold,2023-06-08,2025-08-10,English,Yes
CUST0015,South,Kerala,Kochi,682001,Platinum,2022-08-23,2025-08-05,Malayalam,Yes
CUST0016,West,Maharashtra,Nagpur,440001,Bronze,2024-04-16,2025-08-01,Marathi,Yes
CUST0017,North,Himachal Pradesh,Shimla,171001,Silver,2023-12-02,2025-07-28,Hindi,No
CUST0018,South,Andhra Pradesh,Vijayawada,520001,Gold,2022-10-14,2025-07-23,Telugu,Yes
CUST0019,East,Jharkhand,Ranchi,834001,Bronze,2024-01-07,2025-07-18,Hindi,Yes
CUST0020,North,Jammu and Kashmir,Srinagar,190001,Diamond,2022-03-21,2025-07-12,Kashmiri,Yes
CUST0021,West,Goa,Panaji,403001,Platinum,2023-08-15,2025-07-08,Konkani,Yes
CUST0022,South,Karnataka,Mysore,570001,Silver,2023-11-29,2025-07-03,Kannada,No
CUST0023,East,Bihar,Patna,800001,Bronze,2024-05-22,2025-06-28,Hindi,Yes
CUST0024,North,Uttarakhand,Dehradun,248001,Gold,2022-07-04,2025-06-23,Hindi,Yes
CUST0025,West,Madhya Pradesh,Indore,452001,Silver,2023-04-18,2025-06-18,Hindi,No
CUST0026,South,Tamil Nadu,Coimbatore,641001,Bronze,2024-02-11,2025-06-12,Tamil,Yes
CUST0027,East,Assam,Guwahati,781001,Silver,2023-09-06,2025-06-08,Assamese,Yes
CUST0028,North,Haryana,Faridabad,121001,Enterprise,2022-05-28,2025-06-03,Hindi,Yes
CUST0029,West,Gujarat,Surat,395001,Gold,2023-01-09,2025-05-30,Gujarati,Yes
CUST0030,South,Karnataka,Hubli,580001,Silver,2023-12-16,2025-05-25,Kannada,No
