CustomerID,Age,Gender,Income,Education,Occupation,MaritalStatus,Children,HouseholdSize,DigitalSpend,TechSavvy,BrandLoyalty,PriceSegment
CUST0001,32,Male,1200000,Masters,Software Engineer,Married,1,3,High,Expert,Apple,Premium
CUST0002,28,Female,850000,Bachelors,Marketing Manager,Single,0,2,Medium,Advanced,Mixed,Mid-Range
CUST0003,35,Male,1500000,MBA,Product Manager,Married,2,4,High,Expert,Apple,Premium
CUST0004,29,Male,1100000,Masters,Data Scientist,Single,0,1,High,Expert,Apple,Premium
CUST0005,42,Female,750000,Bachelors,Teacher,Married,2,4,Medium,Intermediate,Mixed,Mid-Range
CUST0006,38,Male,950000,Masters,Financial Analyst,Married,1,3,Medium,Advanced,Mixed,Mid-Range
CUST0007,45,Male,2500000,MBA,CEO,Married,2,4,Very High,Expert,Apple,Luxury
CUST0008,24,Male,450000,Bachelors,Junior Developer,Single,0,2,Low,Intermediate,Budget,Budget
CUST0009,31,Female,1300000,Masters,UX Designer,Single,0,1,High,Expert,Apple,Premium
CUST0010,33,Male,1400000,MBA,Consultant,Married,1,3,High,Expert,Apple,Premium
CUST0011,40,Male,2200000,Masters,VP Engineering,Married,2,4,Very High,Expert,Apple,Enterprise
CUST0012,26,Female,650000,Bachelors,Content Creator,Single,0,2,Medium,Advanced,Mixed,Mid-Range
CUST0013,37,Male,800000,Masters,Government Officer,Married,2,4,Low,Intermediate,Mixed,Mid-Range
CUST0014,30,Female,1050000,Masters,Business Analyst,Single,0,1,High,Advanced,Apple,Premium
CUST0015,34,Male,1600000,MBA,Investment Banker,Married,1,3,High,Expert,Apple,Premium
CUST0016,27,Female,550000,Bachelors,Graphic Designer,Single,0,2,Medium,Intermediate,Mixed,Budget
CUST0017,39,Male,720000,Bachelors,Sales Manager,Married,1,3,Medium,Intermediate,Mixed,Mid-Range
CUST0018,36,Female,1250000,Masters,HR Director,Married,2,4,High,Advanced,Apple,Premium
CUST0019,25,Male,480000,Bachelors,Marketing Executive,Single,0,1,Low,Intermediate,Budget,Budget
CUST0020,48,Male,3200000,MBA,Entrepreneur,Married,3,5,Very High,Expert,Apple,Luxury
CUST0021,41,Female,1800000,MBA,Legal Counsel,Married,1,3,High,Advanced,Apple,Premium
CUST0022,29,Male,680000,Bachelors,Software Tester,Single,0,2,Medium,Advanced,Mixed,Mid-Range
CUST0023,35,Female,520000,Bachelors,Nurse,Married,2,4,Low,Beginner,Budget,Budget
CUST0024,33,Male,1150000,Masters,Operations Manager,Married,1,3,High,Advanced,Apple,Premium
CUST0025,28,Female,750000,Bachelors,Digital Marketer,Single,0,1,High,Advanced,Mixed,Mid-Range
CUST0026,31,Male,580000,Bachelors,Mechanical Engineer,Married,1,3,Medium,Intermediate,Mixed,Budget
CUST0027,37,Female,890000,Masters,Research Scientist,Single,0,1,Medium,Expert,Apple,Mid-Range
CUST0028,42,Male,2800000,MBA,Managing Director,Married,2,4,Very High,Expert,Apple,Enterprise
CUST0029,30,Male,920000,Masters,Architect,Single,0,1,High,Advanced,Apple,Premium
CUST0030,26,Female,640000,Bachelders,Social Media Manager,Single,0,2,High,Advanced,Mixed,Mid-Range
